,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,2248605,2349405,16898205,3814,False,6,6,15,0.000201,0.716667,0.939851,98,GELU(approximate=False),414,0.780952,0.766948,0.716667,0.701669,0.77037,0.755647,0.766667,0.755415,True,0.04351933333333332,libras_move,11,exp0090_politica_1_oracle_1m1l,,,0.9070945510400895,topsis_pareto_oracle
0,2256376,2357176,16905976,3313,False,1,1,14,0.000208,0.716667,1.007672,94,GELU(approximate=False),413,0.814286,0.802562,0.716667,0.697884,0.792593,0.778866,0.733333,0.720314,True,0.06978533333333337,libras_move,4,exp0090_politica_1_oracle_1m1l,,,0.8924745790414078,topsis_pareto_oracle
0,2258279,2359079,16907879,1509,False,7,7,10,0.000245,0.683333,1.249481,99,ReLU(),109,0.728571,0.716,0.683333,0.67036,0.722222,0.709284,0.666667,0.649068,True,0.030426666666666675,libras_move,8,exp0090_politica_1_oracle_1m1l,,,0.8939276216492319,topsis_pareto_oracle
0,2267110,2367910,16916710,1911,False,3,3,12,0.000214,0.6,1.089066,99,LeakyReLU(negative_slope=0.01),211,0.7,0.684687,0.6,0.579771,0.677778,0.661197,0.7,0.685961,True,0.069944,libras_move,10,exp0090_politica_1_oracle_1m1l,,,0.8752927785321504,topsis_pareto_oracle
0,2271117,2371917,16920717,2809,False,4,4,10,0.000183,0.7,1.155497,99,SELU(),309,0.761905,0.747189,0.7,0.683265,0.744444,0.728539,0.7,0.686797,True,0.04261599999999999,libras_move,7,exp0090_politica_1_oracle_1m1l,,,0.8996876034801021,topsis_pareto_oracle
0,2274170,2374970,16923770,307,False,3,3,8,0.00019,0.733333,1.125654,93,Identity(),7,0.714286,0.69982,0.733333,0.721406,0.718518,0.704454,0.7,0.691023,True,0.014390666666666663,libras_move,12,exp0090_politica_1_oracle_1m1l,,,0.9110471735266824,topsis_pareto_oracle
0,2284631,2385431,16934231,2113,False,5,5,14,0.000199,0.566667,1.122402,99,LeakyReLU(negative_slope=0.01),213,0.695238,0.677281,0.566667,0.541383,0.666667,0.646901,0.766667,0.754505,True,0.09059866666666672,libras_move,3,exp0090_politica_1_oracle_1m1l,,,0.9090713069203011,topsis_pareto_oracle
0,2286967,2387767,16936567,1118,False,3,3,19,0.000172,0.8,0.812623,95,ReLU(),118,0.842857,0.833946,0.8,0.789009,0.837037,0.827418,0.8,0.793306,True,0.029958000000000002,libras_move,15,exp0090_politica_1_oracle_1m1l,,,0.8779077985632449,topsis_pareto_oracle
0,2294651,2395451,16944251,3812,False,6,6,13,0.000207,0.716667,0.993164,98,GELU(approximate=False),412,0.790476,0.777477,0.716667,0.70638,0.774074,0.760771,0.733333,0.722064,True,0.047397999999999975,libras_move,1,exp0090_politica_1_oracle_1m1l,,,0.8897215335561045,topsis_pareto_oracle
0,2297517,2398317,16947117,3413,False,2,2,14,0.0002,0.733333,0.820098,96,GELU(approximate=False),413,0.704762,0.688237,0.733333,0.718359,0.711111,0.694644,0.733333,0.721187,True,0.020081333333333323,libras_move,16,exp0090_politica_1_oracle_1m1l,,,0.8962642631086821,topsis_pareto_oracle
