,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1662849,1763649,16312449,1573,False,7,7,74,5e-05,0.889706,0.306667,87,ReLU(),173,0.930672,0.860657,0.889706,0.780396,0.921569,0.843093,0.867647,0.730961,True,0.027310666666666705,Australian,4,exp0090_politica_1_oracle_1m1l,,,0.6444421161609912,Train
1668528,1769328,16318128,2355,False,7,7,56,5.7e-05,0.882353,0.327045,95,LeakyReLU(negative_slope=0.01),255,0.926471,0.851442,0.882353,0.764408,0.915033,0.828505,0.852941,0.701754,True,0.029411999999999994,Australian,8,exp0090_politica_1_oracle_1m1l,,,0.7222135257893078,Train
1671873,1772673,16321473,1873,False,2,2,74,5.1e-05,0.889706,0.331761,85,LeakyReLU(negative_slope=0.01),273,0.918067,0.83519,0.889706,0.776794,0.911765,0.822196,0.838235,0.673374,False,0.018907333333333314,Australian,10,exp0090_politica_1_oracle_1m1l,,,0.6415728228832521,Train
1679941,1780741,16329541,1880,False,2,2,81,5e-05,0.882353,0.304706,89,LeakyReLU(negative_slope=0.01),280,0.939076,0.876698,0.882353,0.764408,0.924837,0.848334,0.852941,0.701754,True,0.03781533333333331,Australian,7,exp0090_politica_1_oracle_1m1l,,,0.6251779728588854,Train
1685385,1786185,16334985,2296,False,6,6,97,5e-05,0.889706,0.345978,95,LeakyReLU(negative_slope=0.01),296,0.930672,0.859944,0.889706,0.780396,0.921569,0.842012,0.852941,0.701754,True,0.027310666666666705,Australian,12,exp0090_politica_1_oracle_1m1l,,,0.5881979009527533,Train
1691009,1791809,16340609,1479,False,6,6,80,5.3e-05,0.889706,0.347207,96,ReLU(),179,0.934874,0.867994,0.889706,0.778258,0.924837,0.847875,0.867647,0.730961,True,0.03011199999999999,Australian,3,exp0090_politica_1_oracle_1m1l,,,0.637626048891763,Train
1696141,1796941,16345741,1998,False,3,3,99,5e-05,0.889706,0.322195,96,LeakyReLU(negative_slope=0.01),298,0.92437,0.847046,0.889706,0.775917,0.916667,0.831065,0.852941,0.701754,True,0.023109333333333353,Australian,15,exp0090_politica_1_oracle_1m1l,,,0.5844661469922265,Train
1702343,1803143,16351943,1474,False,6,6,75,5.3e-05,0.867647,0.339941,99,ReLU(),174,0.930672,0.86027,0.867647,0.737271,0.916667,0.832612,0.838235,0.673374,True,0.04201666666666674,Australian,1,exp0090_politica_1_oracle_1m1l,,,0.6577586135930176,Train
1707485,1808285,16357085,1472,False,6,6,73,5.3e-05,0.889706,0.320002,86,ReLU(),172,0.928571,0.855551,0.889706,0.776009,0.919935,0.837853,0.852941,0.701754,True,0.025910000000000027,Australian,16,exp0090_politica_1_oracle_1m1l,,,0.6466388923898899,Train
1713536,1814336,16363136,1380,False,5,5,81,5.2e-05,0.875,0.282533,94,ReLU(),180,0.930672,0.859336,0.875,0.753584,0.918301,0.835115,0.838235,0.673374,True,0.037114666666666705,Australian,6,exp0090_politica_1_oracle_1m1l,,,0.631770721818565,Train
1714297,1815097,16363897,2291,False,6,6,92,0.000129,0.964912,0.125792,96,LeakyReLU(negative_slope=0.01),291,0.971596,0.93687,0.964912,0.921698,0.97141,0.936388,0.959064,0.907675,True,0.0044560000000000155,car(3),17,exp0090_politica_1_oracle_1m1l,,,0.6026160653743636,Train
1721002,1821802,16370602,1682,False,0,0,83,0.000131,0.973684,0.123319,94,LeakyReLU(negative_slope=0.01),282,0.966583,0.926155,0.973684,0.941042,0.968811,0.930745,0.953216,0.895149,True,0.004734000000000016,car(3),18,exp0090_politica_1_oracle_1m1l,,,0.6261115703528599,Train
1728560,1829360,16378160,1290,False,4,4,91,0.000129,0.953216,0.133527,99,ReLU(),190,0.97076,0.935058,0.953216,0.897005,0.966862,0.926528,0.959064,0.908356,True,0.011696000000000003,car(3),2,exp0090_politica_1_oracle_1m1l,,,0.6087846491732597,Train
1734421,1835221,16384021,2188,False,5,5,89,0.000122,0.953216,0.130884,97,LeakyReLU(negative_slope=0.01),288,0.969925,0.933135,0.953216,0.896044,0.966212,0.924884,0.959064,0.908362,True,0.01113933333333339,car(3),5,exp0090_politica_1_oracle_1m1l,,,0.6123349254482147,Train
1739950,1840750,16389550,3298,False,0,0,99,5.9e-05,0.839181,0.372616,17,GELU(approximate=False),498,0.855472,0.653255,0.839181,0.610082,0.853801,0.648674,0.859649,0.665116,True,0.010860666666666704,car(3),0,exp0090_politica_1_oracle_1m1l,,,0.5811309202260977,Train
1746858,1847658,16396458,1495,False,6,6,96,0.000115,0.932749,0.153022,86,ReLU(),195,0.971596,0.937082,0.932749,0.851067,0.961663,0.914748,0.959064,0.908356,False,0.025897999999999977,car(3),13,exp0090_politica_1_oracle_1m1l,,,0.5765321276564744,Train
1752489,1853289,16402089,2195,False,5,5,96,8.6e-05,0.915205,0.225428,50,LeakyReLU(negative_slope=0.01),295,0.942356,0.869501,0.915205,0.807651,0.938272,0.860278,0.935673,0.852928,True,0.018100666666666616,car(3),14,exp0090_politica_1_oracle_1m1l,,,0.5958552118049211,Train
1757132,1857932,16406732,1297,False,4,4,98,8e-05,0.918129,0.221057,45,ReLU(),197,0.934837,0.852337,0.918129,0.814435,0.931774,0.845485,0.94152,0.866781,True,0.011138666666666705,car(3),11,exp0090_politica_1_oracle_1m1l,,,0.590754299070455,Train
1760828,1861628,16410428,1199,False,3,3,100,0.000121,0.964912,0.110108,98,ReLU(),199,0.976608,0.947997,0.964912,0.923389,0.974659,0.943873,0.959064,0.908362,True,0.00779733333333336,car(3),4,exp0090_politica_1_oracle_1m1l,,,0.5845480836166143,Train
1764388,1865188,16413988,1083,False,2,2,84,0.000127,0.967836,0.12003,97,ReLU(),183,0.969925,0.933233,0.967836,0.929357,0.968811,0.930825,0.959064,0.90743,True,0.0013926666666666716,car(3),8,exp0090_politica_1_oracle_1m1l,,,0.6293292823317993,Train
1770009,1870809,16419609,1869,False,2,2,70,0.000141,0.967836,0.116316,99,LeakyReLU(negative_slope=0.01),269,0.969925,0.933335,0.967836,0.927922,0.968811,0.930532,0.959064,0.907675,True,0.0013926666666666716,car(3),10,exp0090_politica_1_oracle_1m1l,,,0.6748123728599665,Train
1779645,1880445,16429245,2190,False,5,5,91,0.00013,0.953216,0.1432,97,LeakyReLU(negative_slope=0.01),290,0.975773,0.946134,0.953216,0.896554,0.97011,0.93356,0.964912,0.921423,True,0.015038000000000032,car(3),7,exp0090_politica_1_oracle_1m1l,,,0.606742638268034,Train
1785243,1886043,16434843,2392,False,7,7,93,0.000123,0.944444,0.144317,92,LeakyReLU(negative_slope=0.01),292,0.97076,0.935345,0.944444,0.875151,0.965562,0.923553,0.964912,0.921423,True,0.017544000000000004,car(3),12,exp0090_politica_1_oracle_1m1l,,,0.5944922476141683,Train
1789561,1890361,16439161,2192,False,5,5,93,0.000118,0.953216,0.138393,88,LeakyReLU(negative_slope=0.01),292,0.967419,0.92714,0.953216,0.895513,0.964262,0.920099,0.964912,0.921423,True,0.009468666666666717,car(3),3,exp0090_politica_1_oracle_1m1l,,,0.6010363661406384,Train
1796811,1897611,16446411,1785,False,1,1,86,0.000125,0.953216,0.135928,98,LeakyReLU(negative_slope=0.01),285,0.969925,0.93311,0.953216,0.896505,0.966862,0.92639,0.953216,0.894622,True,0.01113933333333339,car(3),15,exp0090_politica_1_oracle_1m1l,,,0.6222119523650987,Train
1802070,1902870,16451670,2186,False,5,5,87,0.000129,0.944444,0.137347,99,LeakyReLU(negative_slope=0.01),286,0.971596,0.936686,0.944444,0.874087,0.965562,0.92291,0.953216,0.895183,True,0.018101333333333375,car(3),1,exp0090_politica_1_oracle_1m1l,,,0.6199825916165207,Train
1804604,1905404,16454204,998,False,1,1,99,0.000124,0.964912,0.142693,98,ReLU(),198,0.969925,0.932915,0.964912,0.922537,0.97141,0.936548,0.953216,0.89393,True,0.0043320000000000025,car(3),16,exp0090_politica_1_oracle_1m1l,,,0.5870174605771004,Train
1811997,1912797,16461597,1298,False,4,4,99,0.000122,0.953216,0.152058,99,ReLU(),198,0.97076,0.935061,0.953216,0.895928,0.966212,0.924719,0.959064,0.908362,False,0.011696000000000003,car(3),6,exp0090_politica_1_oracle_1m1l,,,0.587936539062132,Train
1819950,1920750,16469550,1198,False,3,3,99,5.4e-05,0.76,0.503571,88,ReLU(),198,0.881429,0.709568,0.76,0.378251,0.854444,0.639703,0.74,0.347446,False,0.08095266666666667,credit-g,17,exp0090_politica_1_oracle_1m1l,,,0.5715922367714567,Train
1825556,1926356,16475156,1083,False,2,2,84,5.4e-05,0.8,0.456583,91,ReLU(),183,0.865714,0.668301,0.8,0.50073,0.852222,0.633559,0.72,0.284463,True,0.04380933333333329,credit-g,18,exp0090_politica_1_oracle_1m1l,,,0.6189045269961633,Train
1831197,1931997,16480797,1096,False,2,2,97,5.5e-05,0.775,0.514163,98,ReLU(),196,0.884286,0.718331,0.775,0.438884,0.86,0.657513,0.7,0.231784,True,0.07285733333333333,credit-g,2,exp0090_politica_1_oracle_1m1l,,,0.5920562681457396,Train
1836797,1937597,16486397,2399,False,7,7,100,5.6e-05,0.76,0.65389,97,LeakyReLU(negative_slope=0.01),299,0.882857,0.713268,0.76,0.398541,0.861111,0.657938,0.75,0.368162,True,0.08190466666666667,credit-g,5,exp0090_politica_1_oracle_1m1l,,,0.5832839975550396,Train
1842394,1943194,16491994,1786,False,1,1,87,5.3e-05,0.775,0.511957,91,LeakyReLU(negative_slope=0.01),286,0.874286,0.691263,0.775,0.427595,0.852222,0.634563,0.73,0.284658,True,0.06619066666666666,credit-g,0,exp0090_politica_1_oracle_1m1l,,,0.6084966127457829,Train
1847990,1948790,16497590,1183,False,3,3,84,5.3e-05,0.755,0.527485,94,ReLU(),183,0.878571,0.703435,0.755,0.388146,0.852222,0.637125,0.71,0.264455,True,0.08238066666666666,credit-g,13,exp0090_politica_1_oracle_1m1l,,,0.6228298802754205,Train
