,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
601261,601261,12932461,2428,False,0,0,29,5.9e-05,0.925926,0.179127,99,SELU(),328,0.933862,0.478556,0.925926,0.356753,0.934156,0.472402,0.962963,0.693375,False,0.00548666666666664,climate-model-simulation-crashes(4),6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8458409253328127,oracle
609222,609222,12940422,2651,False,2,2,52,3.5e-05,0.777778,0.478283,66,SELU(),351,0.718137,0.192832,0.777778,0.427638,0.740952,0.321403,0.844828,0.60618,False,0.03976066666666663,ilpd,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6723464538625435,oracle
614337,614337,12945537,1218,False,4,4,19,3.5e-05,0.732759,0.611003,11,ReLU(),118,0.696822,0.140469,0.732759,0.246487,0.704762,0.166856,0.793103,0.476996,False,0.023957999999999997,ilpd,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5635749009798141,oracle
620307,620307,12951507,2418,False,0,0,19,3.1e-05,0.745763,0.593564,37,SELU(),318,0.697789,0.233398,0.745763,0.33898,0.714286,0.274905,0.844828,0.619534,False,0.03198266666666664,ilpd,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6547051426412275,oracle
623637,623637,12954837,5526,False,7,7,27,2.6e-05,0.732759,0.497356,96,Tanh(),626,0.721271,0.135799,0.732759,0.214799,0.744762,0.262677,0.810345,0.527523,True,0.015660666666666694,ilpd,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8486660597191452,oracle
631584,631584,12962784,3076,False,6,6,77,3.4e-05,0.752137,0.5302,34,SELU(),376,0.710784,0.187269,0.752137,0.364306,0.731429,0.302122,0.827586,0.560951,False,0.027568666666666648,ilpd,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.49927170072983973,oracle
635990,635990,12967190,3217,False,0,0,18,3.9e-05,0.769231,0.565998,39,GELU(approximate=False),417,0.723039,0.226383,0.769231,0.354123,0.735238,0.253152,0.775862,0.401504,False,0.030794666666666675,ilpd,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.669029174928433,oracle
642353,642353,12973553,877,False,0,0,78,3.2e-05,0.752137,0.515544,29,ReLU(),177,0.705882,0.214285,0.752137,0.295603,0.721905,0.213621,0.810345,0.511349,False,0.030836666666666623,ilpd,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.4816266471312819,oracle
648551,648551,12979751,2849,False,4,4,50,3.9e-05,0.752137,0.563203,35,SELU(),349,0.708333,0.188469,0.752137,0.371406,0.721905,0.243517,0.793103,0.476996,False,0.029202666666666637,ilpd,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5703577608455275,oracle
652016,652016,12983216,3819,False,6,6,20,3.7e-05,0.741379,0.490002,42,GELU(approximate=False),419,0.701711,0.064329,0.741379,0.269507,0.729524,0.240608,0.827586,0.575349,False,0.02644533333333336,ilpd,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6769011233371115,oracle
658782,658782,12989982,2274,False,6,6,75,3.8e-05,0.741379,0.49727,86,LeakyReLU(negative_slope=0.01),274,0.694377,0.185719,0.741379,0.307739,0.740952,0.328486,0.87931,0.69897,False,0.031334666666666657,ilpd,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6316397150479199,oracle
664410,664410,12995610,2764,False,3,3,65,3.4e-05,0.752137,0.495933,23,SELU(),364,0.705882,0.18304,0.752137,0.311805,0.72381,0.242403,0.827586,0.558063,False,0.030836666666666623,ilpd,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.49342974416311436,oracle
670409,670409,13001609,3614,False,4,4,15,4.4e-05,0.732759,0.625921,73,GELU(approximate=False),414,0.696822,0.149546,0.732759,0.235627,0.706667,0.161245,0.775862,0.422669,False,0.023957999999999997,ilpd,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8143962637630219,oracle
677411,677411,13008611,1993,False,3,3,94,3.8e-05,0.794872,0.54144,66,LeakyReLU(negative_slope=0.01),293,0.698529,0.183828,0.794872,0.441389,0.740952,0.279034,0.775862,0.403148,False,0.06422866666666671,ilpd,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5334707506692399,oracle
683061,683061,13014261,1048,False,2,2,49,3.6e-05,0.726496,0.739916,8,ReLU(),148,0.607843,-0.004927,0.726496,0.214139,0.664762,0.044032,0.775862,0.419167,False,0.079102,ilpd,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.46828970773831186,oracle
685768,685768,13016968,924,False,1,1,25,3.3e-05,0.735043,0.558737,62,ReLU(),124,0.720588,0.251618,0.735043,0.293078,0.706667,0.223489,0.827586,0.560951,False,0.018917333333333303,ilpd,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7343625837964813,oracle
690072,690072,13021272,3521,False,3,3,22,3.3e-05,0.726496,0.53768,89,GELU(approximate=False),421,0.737745,0.313139,0.726496,0.188562,0.735238,0.235925,0.793103,0.476996,False,0.007499333333333302,ilpd,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8590951270257374,oracle
699151,699151,13030351,2531,False,1,1,32,3.3e-05,0.760684,0.517721,31,SELU(),331,0.708333,0.111949,0.760684,0.409669,0.714286,0.297202,0.810345,0.534786,False,0.03490066666666669,ilpd,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5953770449376242,oracle
704843,704843,13036043,683,False,6,6,84,3.7e-05,0.732759,0.564978,19,Identity(),83,0.669927,0.114095,0.732759,0.277927,0.714286,0.224387,0.844828,0.60618,False,0.041888,ilpd,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.4384369458237135,oracle
709376,709376,13040576,1474,False,6,6,75,4.7e-05,0.927419,0.248942,93,ReLU(),174,0.908884,0.840069,0.927419,0.87429,0.914742,0.850472,0.951613,0.914921,False,0.012356666666666646,balance-scale,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6473427371557273,oracle
712211,712211,13043411,1482,False,6,6,83,4.5e-05,0.919355,0.258273,94,ReLU(),182,0.927107,0.872024,0.919355,0.859396,0.927176,0.87216,0.951613,0.913997,True,0.005213999999999978,balance-scale,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6248346355660631,oracle
